CODE;TEXT;TEXT_Q0;TEXT_Q1;TEXT_QN;N;Q;T;D;U;C;R;COMMENT
1;traffic problem;;;;;;D;1;U;1;A50;
101;stationary traffic;;;;;;D;1;U;1;A1;
102;stationary traffic for 1 km;;;;;;D;1;U;1;A101;
103;stationary traffic for 2 km;;;;;;D;1;U;1;A102;
129;stationary traffic for 3 km;;;;;;D;1;U;1;A103;
104;stationary traffic for 4 km;;;;;;D;1;U;1;A104;
105;stationary traffic for 6 km;;;;;;D;1;U;1;A106;
106;stationary traffic for 10 km;;;;;;D;1;U;1;A110;
130;danger of stationary traffic;;;;;;D;1;U;1;A1D;
108;queuing traffic with average speeds $Q;queuing traffic;;;;4;D;1;U;1;A2;
109;queuing traffic for 1 km with average speeds $Q;queuing traffic for 1 km;;;;4;D;1;U;1;A201;
110;queuing traffic for 2 km with average speeds $Q;queuing traffic for 2 km;;;;4;D;1;U;1;A202;
131;queuing traffic for 3 km with average speeds $Q;queuing traffic for 3 km;;;;4;D;1;U;1;A203;
111;queuing traffic for 4 km with average speeds $Q;queuing traffic for 4 km;;;;4;D;1;U;1;A204;
112;queuing traffic for 6 km with average speeds $Q;queuing traffic for 6 km;;;;4;D;1;U;1;A206;
113;queuing traffic for 10 km with average speeds $Q;queuing traffic for 10 km;;;;4;D;1;U;1;A210;
132;danger of queuing traffic with average speeds $Q;danger of queuing traffic;;;;4;D;1;U;1;A2D;
133;long queues with average speeds $Q;long queues;;;;4;D;1;U;1;A7;
115;slow traffic with average speeds $Q;slow traffic;;;;4;D;1;U;1;A3;
116;slow traffic for 1 km with average speeds $Q;slow traffic for 1 km;;;;4;D;1;U;1;A301;
117;slow traffic for 2 km with average speeds $Q;slow traffic for 2 km;;;;4;D;1;U;1;A302;
134;slow traffic for 3 km with average speeds $Q;slow traffic for 3 km;;;;4;D;1;U;1;A303;
118;slow traffic for 4 km with average speeds $Q;slow traffic for 4 km;;;;4;D;1;U;1;A304;
119;slow traffic for 6 km with average speeds $Q;slow traffic for 6 km;;;;4;D;1;U;1;A306;
120;slow traffic for 10 km with average speeds $Q;slow traffic for 10 km;;;;4;D;1;U;1;A310;
122;heavy traffic with average speeds $Q;heavy traffic;;;;4;D;1;;1;A4;
142;traffic heavier than normal with average speeds $Q;traffic heavier than normal;;;;4;D;1;;1;A11;
